GDC_UUID	CGC_path	sample_type	disease
8F0D1792-1284-45E6-8EC4-392596057677	/Datasets/tcga/TCGA-ESCA/ceaf98f8-517e-457a-bf29-acfe22893d49/analysis/074d9f28-9f8f-460f-a5a2-fb2ae2765de3/data/TCGA-2H-A9GI-01A-11R-A37I-31_rnaseq_fastq.tar	Primary Tumor	Esophageal Carcinoma
DAF84798-FE3F-403C-B589-7F256AF752BE	/Datasets/tcga/TCGA-MESO/0ac27bc8-346e-4006-a701-d9676fb91cb7/analysis/c0ad3839-f983-4691-b16b-cd523928ee93/data/UNCID_2638894.19aa7fd7-e119-41a5-a6d4-ea36f9f1aaab.140721_UNC15-SN850_0379_AC4V28ACXX_1_TGACCA.tar.gz	Primary Tumor	Mesothelioma
E502A171-ED36-4646-903D-06ADFA703490	/Datasets/tcga/TCGA-READ/016c9c14-4c88-49f5-a11a-dd4bc282f11e/analysis/faa4ff42-2c5b-4686-b52f-3a46755bee7e/data/UNCID_2185593.7beba335-8982-4dfe-8782-7ec8cbea91ed.121211_UNC16-SN851_0199_BD1KLUACXX_5_GTGGCC.tar.gz	Primary Tumor	Rectum Adenocarcinoma
80F8F400-A4BD-46B5-8EFB-F0F4D81B3E80	/Datasets/tcga/TCGA-LUAD/5fe77d4a-a8a5-4c90-8ff2-9c3bbbb309ef/analysis/fdb73c55-d756-47f8-9c0f-6e8f59e300af/data/UNCID_2176517.a9b0abf6-d818-4aa0-a1bc-3e3c1cf2ff59.130416_UNC13-SN749_0247_BC22KAACXX_6_ATCACG.tar.gz	Primary Tumor	Lung Adenocarcinoma
D1729A17-148B-4C58-BEB5-7C4349A0E920	/Datasets/tcga/TCGA-LGG/77396ae6-3838-47bf-aaae-f9a0f401ec7f/analysis/abcda4bc-5b9c-4468-825b-5d65a987cf84/data/UNCID_2258164.8139b1af-5d6d-4fd4-b834-08cc4a18d0a9.130611_UNC15-SN850_0312_BC265JACXX_1_CAGATC.tar.gz	Primary Tumor	Brain Lower Grade Glioma
25A22E08-ED35-4AA7-B7D0-E5CC4250819A	/Datasets/tcga/TCGA-LUSC/1aeabf26-ac51-4173-ab8b-5d439ceca9f4/analysis/4f109454-e7e8-4c8a-ae31-5a097e456f91/data/UNCID_2176817.c9eb7517-0b47-407c-abaa-abae989044fd.130412_UNC10-SN254_0451_AC22EDACXX_1_GTGGCC.tar.gz	Primary Tumor	Lung Squamous Cell Carcinoma
7822EA86-35A1-4285-9429-2B63111B9885	/Datasets/tcga/TCGA-CESC/63bffdb1-bc08-4175-8be7-d7a056d19816/analysis/3ff4f09e-cd41-4e9f-a5c6-bfb6e3eba06d/data/UNCID_2186691.6F54279A-F0B1-4E9D-9E71-7F91CEF40BA2.121011_UNC13-SN749_0197_AD16K1ACXX_7_CCGTCC.tar.gz	Primary Tumor	Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma
5836F2D8-CB09-4AFF-9CDD-45EEAF835262	/Datasets/tcga/TCGA-BRCA/24e39609-9645-43e5-960b-db5446eaea65/analysis/fa176e44-3230-406e-882c-84e27bb30bd0/data/UNCID_2208773.81589acc-5dae-4cad-9f97-88b81fa53f92.110608_SN254_0231_BD0CT2ABXX_3.tar.gz	Primary Tumor	Breast Invasive Carcinoma
C9BE0C26-C2E5-4D44-A3F8-B9EFD2F77562	/Datasets/tcga/TCGA-PRAD/ecade538-f882-4f29-a363-7acb89fd0576/analysis/4e065fa4-4dfa-4631-94f3-9700ce313b1b/data/UNCID_2189801.8c9b95d4-ee46-4312-ba8c-8000c9988ee8.120507_UNC10-SN254_0355_AC0TR8ACXX_7_TAGCTT.tar.gz	Primary Tumor	Prostate Adenocarcinoma
F59229D8-3570-4D7A-AED9-4AD6F128C6F9	/Datasets/tcga/TCGA-LUAD/69584d55-18f7-4786-b3cc-cd528500be44/analysis/223ddf43-e22d-4e47-b80b-8b7bc2e99d76/data/UNCID_2189512.b08923df-9b70-48eb-bc2b-023d1e1b0eeb.120525_UNC15-SN850_0216_BC0MB1ACXX_6_TAGCTT.tar.gz	Primary Tumor	Lung Adenocarcinoma
579F0D8B-766D-4478-86B8-47B24A97052C	/Datasets/tcga/TCGA-THCA/8392edea-82b3-4610-87a0-f545f673e922/analysis/63876f50-de91-4b93-a277-0098552f94c7/data/UNCID_2187280.389D9804-EA66-4E27-8808-295A9EB16697.120917_UNC10-SN254_0380_AD1AV3ACXX_3_GTGGCC.tar.gz	Primary Tumor	Thyroid Carcinoma
C670863E-C94F-49C8-953F-2CEA5B80D556	/Datasets/tcga/TCGA-COAD/9382987c-b5b3-48fe-8194-4d83fe340cd0/analysis/0f6afa35-8ee6-4f96-9de5-c359c5f06779/data/UNCID_2185211.8220b852-fe5f-4dcb-bd92-bfee5147cacf.130128_UNC12-SN629_0253_AC1M9FACXX_3_TAGCTT.tar.gz	Primary Tumor	Colon Adenocarcinoma
D66BEDCA-2D42-4C45-9ADE-CE2AB9C9C3B5	/Datasets/tcga/TCGA-BLCA/ccd65bc8-82ef-453e-b4bc-a005cc2262d5/analysis/0a3b1345-21a2-4d65-974a-2d1e2b58b4e7/data/UNCID_2581546.1ff7160a-3918-4942-8a87-9b78d2306c2e.140513_UNC15-SN850_0364_AC4DVGACXX_2_GCCAAT.tar.gz	Primary Tumor	Bladder Urothelial Carcinoma
2D3A2E3F-4C4E-4DBF-B853-E465ACC2D298	/Datasets/tcga/TCGA-LUAD/474b86d9-d897-467d-85d4-51dfa26ea107/analysis/f32078ae-0447-4841-b395-e28ea22f4481/data/UNCID_2197167.891aefa4-e7f1-482f-a2f5-b2d5c7d9e179.111122_UNC13-SN749_0137_BD098JACXX_6_TTAGGC.tar.gz	Primary Tumor	Lung Adenocarcinoma
41F0988E-3BF0-4733-98B3-863B7D11B521	/Datasets/tcga/TCGA-PRAD/aca312ab-6dbd-4183-8b22-8f37834f3426/analysis/19d3b137-db81-422f-8a5e-5a9969d73e75/data/UNCID_2188503.a15d99f4-2e43-4fb8-93d5-6cc582b12237.120713_UNC16-SN851_0171_BD1358ACXX_2_ACTTGA.tar.gz	Primary Tumor	Prostate Adenocarcinoma
A2134C8C-B329-4536-B05F-70EF8E176349	/Datasets/tcga/TCGA-COAD/2d02bd7a-5beb-4e43-9ccb-18d89c9d5ca2/analysis/7770e5fb-9beb-4202-8886-86b2277e88d2/data/UNCID_2217533.9c5da0ca-bc9f-4ed5-8303-385c415904ed.100813_UNC3-RDR300156_00019_FC_629UPAAXX_5.tar.gz	Primary Tumor	Colon Adenocarcinoma
C86373C0-AC79-4748-A7F1-B63DA3A40055	/Datasets/tcga/TCGA-THYM/3eab80e6-21bc-45dd-a7b5-411a5dad4e9a/analysis/495d05b2-3986-4154-83d0-b02a989d2ae6/data/UNCID_2641556.2a0ba833-5509-464d-98b1-a221101788f2.140815_UNC11-SN627_0375_BC59VCACXX_6_ACAGTG.tar.gz	Primary Tumor	Thymoma
2655F609-B3BB-4D01-B421-D5F4B1232EC8	/Datasets/tcga/TCGA-CESC/3edb62c1-25ad-4deb-a005-e881a887d06a/analysis/a9d80e09-37c1-4778-9118-196a2667465e/data/UNCID_2185452.f930146b-0cec-4630-8f79-0e233c238b15.130129_UNC13-SN749_0217_BD1MTTACXX_6_TTAGGC.tar.gz	Primary Tumor	Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma
7550AFDC-56C1-46A3-954F-B129431AA249	/Datasets/tcga/TCGA-KIRP/87ae9d51-7397-4dca-87a4-7b0f20321729/analysis/61022b51-35a1-4487-b3e3-462f6b48222c/data/UNCID_2264370.a63458a8-5d84-4689-9fd9-ec0f29d8e505.130628_UNC15-SN850_0317_BC2542ACXX_6_ATCACG.tar.gz	Primary Tumor	Kidney Renal Papillary Cell Carcinoma
5B6398F4-30A0-4498-9590-41D26443ADCF	/Datasets/tcga/TCGA-LIHC/09790a9b-cc2f-4d7e-a971-8fb4ecd9f791/analysis/bcc66fd3-a484-43d8-b65f-c4e649e8ac32/data/UNCID_2664306.d9971596-7f19-4d41-ad23-688e1051c85c.141030_UNC15-SN850_0397_AC5F8LACXX_2_GTCCGC.tar.gz	Primary Tumor	Liver Hepatocellular Carcinoma
8DABCB90-2352-452A-8A71-4A359F50863B	/Datasets/tcga/TCGA-LUSC/ca191cb3-1a0b-4192-860f-2fde7f9b2105/analysis/0eb49755-9e5d-4746-9a0e-bb8724831732/data/UNCID_2194721.4228ef47-cd33-4bec-aa70-7a0cbe88de80.120313_UNC9-SN296_0281_BD0UM8ACXX_5_ACTTGA.tar.gz	Primary Tumor	Lung Squamous Cell Carcinoma
31A652B1-3BEB-4D78-BCA0-4C153EBC41E8	/Datasets/tcga/TCGA-GBM/c7b4fd72-b45d-4524-8424-983120abfec0/analysis/d01b3c0c-7826-49be-b7d2-3bf404c85e73/data/G17511.TCGA-06-2565-01A-01R-1849-01.2.tar.gz	Primary Tumor	Glioblastoma Multiforme
8F9D4FA9-B2C4-44AF-AF21-F6123978BFA5	/Datasets/tcga/TCGA-BLCA/cdfd86db-15e2-4d38-a717-2207e8de2d8f/analysis/596b55e1-8ff4-4a3f-a21f-62b07bbb1072/data/UNCID_2660758.d855e064-11e2-436f-8433-b114b4709247.141006_UNC15-SN850_0395_AC5FH9ACXX_7_TTAGGC.tar.gz	Primary Tumor	Bladder Urothelial Carcinoma
