4857	DRP002435	DRS016933	DRX019711	DRR028165
4868	DRP002435	DRS016933	DRX019713	DRR028559
4871	DRP002435	DRS016933	DRX019711	DRR028228
4872	DRP002435	DRS016933	DRX019713	DRR028564
4873	DRP002435	DRS016933	DRX019714	DRR028326
4906	DRP002435	DRS016933	DRX019712	DRR028286
5000	DRP002435	DRS016933	DRX019715	DRR028462
5001	DRP002435	DRS016933	DRX019715	DRR028432
5305	DRP002586	DRS019265	DRX022589	DRR024928
5312	DRP002586	DRS019265	DRX022554	DRR024893
5335	DRP001797	DRS016622	DRX021451	DRR023667
5337	DRP001797	DRS016621	DRX021450	DRR023659
5341	DRP002586	DRS019265	DRX022555	DRR024894
5356	DRP002435	DRS016933	DRX019711	DRR028166
5368	DRP002435	DRS016933	DRX019713	DRR028521
5395	DRP002435	DRS016933	DRX019715	DRR028495
5423	DRP002435	DRS016933	DRX019712	DRR028317
5499	DRP002623	DRS019466	DRX021335	DRR023281
5516	SRP059950	SRS973952	SRX1075710	SRR2081132
5677	SRP051249	SRS795858	SRX815512	SRR1721300
5793	SRP061329	SRS995615	SRX1101122	SRR2107338
5802	SRP060637	SRS987002	SRX1091367	SRR2096248
5814	DRP002586	DRS019265	DRX022665	DRR025004
5837	DRP001797	DRS016622	DRX021451	DRR023671
5865	DRP002435	DRS016933	DRX019713	DRR028542
5866	SRP060637	SRS987001	SRX1091368	SRR2096249
5871	DRP002435	DRS016933	DRX019711	DRR028211
5876	DRP002435	DRS016933	DRX019714	DRR028420
5890	DRP002586	DRS019265	DRX022625	DRR024964
5896	DRP002435	DRS016933	DRX019714	DRR028400
5902	DRP002435	DRS016933	DRX019712	DRR028290
5919	DRP002435	DRS016933	DRX019712	DRR028264
5932	DRP002435	DRS016933	DRX019714	DRR028378
6091	DRP002851	DRS022482	DRX044045	DRR048992
6264	DRP002586	DRS019265	DRX022652	DRR024991
6321	SRP051472	SRS801163	SRX821417	SRR1732036
6336	DRP002586	DRS019265	DRX022672	DRR025011
6346	DRP002435	DRS016933	DRX019713	DRR028592
6350	DRP002586	DRS019265	DRX022636	DRR024975
6352	DRP002435	DRS016933	DRX019714	DRR028414
6358	DRP002435	DRS016933	DRX019714	DRR028357
6362	DRP002435	DRS016933	DRX019713	DRR028594
6370	DRP002435	DRS016933	DRX019712	DRR028232
6391	DRP002623	DRS019475	DRX021344	DRR023290
6445	DRP002435	DRS016933	DRX019714	DRR028405
6447	DRP002435	DRS016933	DRX019712	DRR028263
