6403	SRP032775	SRS562497	SRX476782	SRR1177671	144837	11017	20507.8182301	0.0760648
376	SRP011546	SRS300740	SRX130006	SRR445727	197874	14947	20513.2153643	0.075538
781	SRP040472	SRS580285	SRX498515	SRR1201680	281493	21221	20481.284206	0.0753873
16694	SRP040472	SRS580285	SRX498514	SRR1201683	281536	21221	20481.8188047	0.0753758
6072	SRP015640	SRS416409	SRX271882	SRR835008	257337	19344	20479.391712	0.0751699
8507	SRP007461	SRS358721	SRX179433	SRR545693	293454	22025	20489.890804	0.0750544
12704	SRP029281	SRS474151	SRX340818	SRR958704	146609	10963	20453.5307587	0.0747771
12836	SRP011546	SRS300737	SRX130003	SRR445724	202351	15065	20512.7301372	0.0744498
11650	ERP006077	ERS480302	ERX497770	ERR532567	337422	24974	20484.1846056	0.0740141
9396	ERP006077	ERS480302	ERX497771	ERR532568	335862	24838	20483.2699918	0.073953
19891	SRP007461	SRS358734	SRX179446	SRR545723	296385	21877	20485.2940129	0.0738128
11699	SRP042620	SRS624300	SRX559755	SRR1313104	226279	16594	20471.4136972	0.0733342
3564	ERP006077	ERS480302	ERX497769	ERR532566	329650	24136	20482.0033308	0.073217
13626	SRP040472	SRS580285	SRX498513	SRR1201682	280175	20510	20481.8751209	0.0732042
10252	SRP007461	SRS242514	SRX085303	SRR317061	213507	15620	20497.2167657	0.0731592
3712	SRP040070	SRS572436	SRX488917	SRR1191876	530164	38782	20491.5965795	0.0731509
10022	SRP014670	SRS352779	SRX172972	SRR531462	100951	7350	20520.8613486	0.0728076
18559	SRP007461	SRS353539	SRX174314	SRR534294	489223	35601	20483.4346321	0.0727705
5733	SRP007461	SRS358730	SRX179442	SRR545716	255786	18549	20488.7689788	0.0725177
2643	ERP006077	ERS480310	ERX497793	ERR532590	604714	43757	20487.5489438	0.0723598
17586	SRP040472	SRS580285	SRX498516	SRR1201681	277735	20017	20481.2552685	0.0720723
7662	SRP007461	SRS353543	SRX174318	SRR534301	430750	31032	20480.5491259	0.0720418
7108	ERP003613	ERS327016	ERX288608	ERR315415	584364	42055	20493.1860536	0.0719671
17432	SRP007461	SRS358727	SRX179439	SRR545710	173934	12500	20490.4141628	0.0718663
17990	SRP011546	SRS300742	SRX130008	SRR445729	189810	13508	20513.2199726	0.0711659
5509	SRP007461	SRS358730	SRX179442	SRR545715	230951	16425	20488.630099	0.071119
11785	SRP011546	SRS300738	SRX130004	SRR445725	198129	14082	20512.5338138	0.0710749
15770	SRP009262	SRS270056	SRX105218	SRR364005	154060	10934	20520.2199857	0.0709723
260	ERP002045	ERS197534	ERX182663	ERR266331	321929	22511	20486.4420633	0.0699254
13569	SRP007605	SRS254691	SRX087132	SRR324688	197347	13713	20495.012815	0.0694867
14229	SRP007461	SRS358723	SRX179435	SRR545702	288941	20039	20488.5004205	0.0693533
7371	SRP007461	SRS353540	SRX174315	SRR534295	531675	36562	20488.7125199	0.0687676
18050	SRP042620	SRS624297	SRX559754	SRR1313103	236443	16105	20470.4575606	0.0681137
8575	SRP033725	SRS513921	SRX390450	SRR1047868	458888	31129	20496.6935745	0.0678357
9865	SRP015964	SRS366556	SRX190848	SRR578755	217170	14619	20488.9006953	0.0673159
5918	SRP011546	SRS300734	SRX130000	SRR445721	196983	13240	20516.0937898	0.0672139
10183	SRP021214	SRS415078	SRX269415	SRR831696	161649	10847	20479.4303646	0.0671022
10704	SRP007605	SRS254691	SRX087131	SRR325616	209226	13997	20492.7822928	0.066899
13074	ERP006077	ERS480305	ERX497778	ERR532575	557638	37288	20490.0755239	0.0668678
10290	SRP020646	SRS409786	SRX262884	SRR823339	359098	23880	20485.2940952	0.0665
7906	SRP009316	SRS281395	SRX110054	SRR387434	320830	21333	20492.5965278	0.0664932
7665	SRP007461	SRS353545	SRX174320	SRR534305	502929	33386	20488.5132434	0.0663831
8648	SRP007461	SRS241953	SRX084668	SRR315306	136048	9025	20475.939367	0.0663369
6052	SRP009316	SRS281402	SRX110061	SRR387441	322350	21310	20493.2856988	0.0661083
15851	SRP009316	SRS281386	SRX110046	SRR387426	263346	17381	20490.8250515	0.0660006
16968	SRP029281	SRS474148	SRX340815	SRR958701	142007	9356	20475.0138585	0.0658841
4459	SRP021221	SRS415113	SRX270600	SRR832891	235442	15490	20476.2922036	0.0657912
17813	SRP033647	SRS513469	SRX389729	SRR1046816	299343	19563	20499.6522083	0.0653531
21043	SRP007461	SRS358717	SRX179429	SRR545685	239349	15621	20485.6730381	0.0652645
