min seqc samples	junctions	magic junctions	rmake junctions	subread junctions	exactly one of {magic, rmake, subread} junctions	exactly two of {magic, rmake, subread} junctions	all three of {magic, rmake, subread} junctions
1404	110155	106648	109799	108843	193	4189	105573
1403	110267	106758	109911	108954	193	4192	105682
1402	110368	106856	110012	109054	193	4196	105779
1401	110497	106978	110141	109179	193	4207	105897
1400	110594	107071	110237	109274	195	4210	105989
1399	110703	107174	110345	109382	195	4215	106092
1398	110804	107271	110446	109483	195	4219	106189
1397	110920	107382	110562	109597	196	4224	106299
1396	111038	107494	110677	109711	196	4228	106410
1395	111164	107616	110802	109835	196	4232	106531
1394	111282	107728	110920	109952	197	4237	106643
1393	111378	107820	111015	110045	197	4242	106733
1392	111479	107917	111114	110144	197	4244	106830
1391	111580	108015	111214	110245	197	4248	106927
1390	111694	108124	111328	110359	197	4253	107036
1389	111802	108230	111436	110466	197	4256	107141
1388	111904	108326	111537	110567	199	4260	107237
1387	112030	108447	111662	110690	200	4264	107357
1386	112125	108537	111756	110784	200	4268	107447
1385	112216	108626	111847	110875	200	4270	107536
1384	112317	108723	111947	110974	201	4275	107631
1383	112408	108810	112038	111064	201	4280	107717
1382	112502	108902	112132	111158	201	4282	107809
1381	112618	109013	112247	111273	201	4286	107920
1380	112710	109103	112339	111363	201	4290	108008
1379	112819	109210	112448	111472	201	4292	108115
1378	112929	109314	112556	111579	203	4296	108218
1377	113039	109420	112666	111687	203	4302	108322
1376	113140	109517	112767	111785	203	4309	108416
1375	113239	109614	112865	111882	204	4312	108511
1374	113335	109706	112961	111977	205	4315	108603
1373	113448	109814	113074	112088	205	4322	108709
1372	113558	109921	113183	112197	205	4324	108816
1371	113653	110014	113278	112291	205	4327	108908
1370	113758	110115	113381	112393	205	4330	109008
1369	113875	110225	113496	112505	207	4337	109115
1368	113967	110317	113588	112595	207	4339	109205
1367	114084	110429	113705	112710	207	4346	109315
1366	114194	110528	113814	112818	208	4355	109414
1365	114276	110606	113895	112897	209	4358	109491
1364	114386	110714	114005	113006	209	4361	109598
1363	114480	110804	114099	113099	209	4366	109687
1362	114586	110906	114205	113201	209	4374	109785
1361	114713	111029	114331	113325	209	4379	109906
1360	114801	111115	114419	113413	209	4381	109992
1359	114922	111232	114540	113531	209	4388	110106
1358	115013	111320	114631	113622	209	4391	110194
1357	115130	111436	114748	113738	210	4391	110310
1356	115241	111543	114859	113847	211	4395	110416
1355	115350	111647	114967	113953	212	4399	110519
1354	115475	111771	115091	114077	212	4399	110643
1353	115577	111868	115193	114177	213	4404	110739
1352	115677	111965	115293	114277	213	4407	110836
1351	115777	112061	115393	114377	213	4411	110932
1350	115879	112159	115495	114479	213	4415	111030
1349	115976	112254	115592	114576	213	4417	111125
1348	116085	112358	115699	114683	214	4421	111228
1347	116210	112481	115823	114806	215	4424	111349
1346	116338	112604	115950	114932	217	4428	111471
1345	116434	112696	116046	115023	218	4435	111559
1344	116539	112800	116151	115127	218	4437	111662
1343	116645	112898	116255	115229	219	4443	111759
1342	116757	113008	116367	115339	219	4447	111867
1341	116857	113102	116465	115436	221	4451	111960
1340	116956	113196	116564	115535	221	4456	112054
1339	117074	113312	116682	115651	221	4460	112168
1338	117183	113420	116790	115759	222	4461	112275
1337	117294	113527	116901	115869	222	4466	112381
