PC1 PC2 PC3 PC4 PC5 brain lcl blood seqc_abrf geuvadis mixture
SRR342850 -0.00753450215491586 0.000769334070311456 0.00241436403381018 0.00172719564537541 0.00070562264744539 0 0 0 0 0 NA
SRR776597 -0.00105484092321777 -0.00105599890836487 -0.00401009333090371 0.00209636735744305 -0.00390628189929009 0 0 0 0 0 NA
SRR1297310 0.00193577937457504 -0.00491041512540395 0.00359219525661714 -0.00341526648848462 0.00943976056926978 0 0 0 0 0 NA
SRR1297311 0.00351753613903768 -0.00338989238823728 0.00345518298202957 -0.00577075780246522 0.014809012045646 0 0 0 0 0 NA
SRR1028931 -0.00753450215491586 0.000769334070311456 0.00241436403381018 0.00172719564537541 0.00070562264744539 0 0 0 0 0 NA
SRR1297314 0.00219893059512688 -0.00295729116341624 0.0023874418976033 -0.00404496994202674 0.0101951712741088 0 0 0 0 0 NA
SRR531471 -0.00752654983488425 0.000772182500848348 0.00240462823398021 0.00173513399947768 0.000701966085237887 0 0 0 0 0 NA
SRR317099 -0.00478429347879642 -8.4649865738698e-05 0.00180795239318389 -0.00314305235575316 0.00832984504397509 0 0 0 0 0 NA
SRR346066 0.00178444881316898 -0.00195863744647527 -0.00747757460470258 0.00447629981282614 -0.00833493879649888 0 0 0 0 0 NA
DRR006433 -0.00334071929809829 -0.00666421530071597 0.00695741448964435 -0.00257320925461634 -0.000927372997604481 0 0 0 0 0 NA
DRR006430 -0.00348565203056923 -0.00449637121135405 0.000910398701867896 -0.00594301118389951 -0.00128623780750472 0 0 0 0 0 NA
DRR006431 -0.0032613697945577 -0.00570449389103181 0.00277966376895206 -0.00432366895540746 -0.00189882035020968 0 0 0 0 0 NA
DRR006436 -0.0068289429167827 5.25523572157262e-06 0.00226691907004577 0.000351864312841377 0.0012542280980957 0 0 0 0 0 NA
DRR006437 -0.00493859013082743 -0.00383653167430078 0.00285236661413102 -0.00466555308206948 0.00124951420368801 0 0 0 0 0 NA
DRR006434 -0.00546173969306821 -0.00294632055307499 0.00402485637617936 -0.000754032670494595 -0.000426196510289045 0 0 0 0 0 NA
DRR006435 -0.0067418651447402 -0.000226985694249894 0.0022204856396269 0.000130807824257881 0.000363188147611255 0 0 0 0 0 NA
DRR006438 -0.00320535261173694 -0.00724255605318164 0.00696454280907704 -0.00342916443475713 -0.000831097583761495 0 0 0 0 0 NA
