sample index	project	sample	experiment	run	junctions	annotated_junctions	junctions_geq_5	annotated_junctions_geq_5	overlaps	annotated_overlaps
13202	SRP032510	SRS498397	SRX372835	SRR1023791	208544	150956	115293	111736	8003416	7873325
13203	SRP009408	SRS280710	SRX107268	SRR372657	76	14	4	0	174	15
13204	SRP010181	SRS285186	SRX114821	SRR397022	14268	13643	688	664	29054	24968
13205	DRP001797	DRS014274	DRX021428	DRR023400	127474	115274	64673	64291	1784753	1763240
13206	SRP044610	SRS661841	SRX656266	SRR1519064	268438	164445	133609	125810	14716489	14462431
13207	SRP012461	SRS310713	SRX144082	SRR490283	188	176	10	10	401	384
13208	SRP008976	SRS267259	SRX101439	SRR353654	215974	145368	101415	94701	14129986	13784752
13209	SRP041736	SRS603286	SRX534569	SRR1274377	9376	8987	649	645	18783	18286
13210	ERP001344	ERS092680	ERX286304	ERR313156	210927	142964	100694	94672	6605811	6291794
13211	ERP003613	ERS326986	ERX288548	ERR315386	167991	144366	87561	86786	2434320	2390280
13212	SRP014809	SRS355513	SRX176037	SRR537046	85288	77372	21783	21663	430247	419912
13213	SRP007461	SRS214610	SRX082584	SRR307933	221596	155003	117355	112698	11966875	11794503
13214	SRP042161	SRS617221	SRX549446	SRR1294832	198	6	7	0	324	6
13215	SRP040547	SRS582645	SRX501588	SRR1205726	1638	1360	34	6	2580	1497
13216	SRP019936	SRS403399	SRX254195	SRR791049	204326	160341	114007	111681	5849762	5746506
13217	ERP004375	ERS481322	ERX615384	ERR659063	38759	35999	25620	24619	717114	702319
13218	SRP008496	SRS265553	SRX099131	SRR349744	46056	43920	4629	4569	118617	114606
13219	SRP013224	SRS334135	SRX148397	SRR497707	162268	125521	85633	84299	3275124	3208938
13220	SRP006574	SRS190576	SRX059511	SRR191516	1	0	0	0	1	0
13221	SRP012546	SRS311226	SRX144683	SRR491343	2	0	0	0	2	0
13222	SRP041736	SRS603497	SRX534780	SRR1274150	8	0	0	0	8	0
13223	SRP024274	SRS437925	SRX297203	SRR886574	175794	136007	99728	97643	6292194	6206394
13224	SRP041736	SRS603226	SRX534509	SRR1274256	25971	21487	19189	18290	1493128	1453417
13225	SRP029990	SRS481308	SRX352341	SRR988509	258127	122376	91865	84862	4872909	4616641
13226	SRP042161	SRS617376	SRX549529	SRR1294915	251	5	26	0	512	6
13227	SRP000599	SRS002159	SRX002654	SRR013583	8	1	4	0	63	1
13228	SRP007508	SRS228243	SRX084353	SRR314795	1565	1039	35	13	2252	1337
