min seqc samples	junctions	magic junctions	rmake junctions	subread junctions	exactly one of {magic, rmake, subread} junctions	exactly two of {magic, rmake, subread} junctions	all three of {magic, rmake, subread} junctions
979	148466	0	0	0	0	0	0
978	148531	0	0	0	0	0	0
977	148609	0	0	0	0	0	0
976	148679	0	0	0	0	0	0
975	148736	0	0	0	0	0	0
974	148810	0	0	0	0	0	0
973	148883	0	0	0	0	0	0
972	148961	0	0	0	0	0	0
971	149036	0	0	0	0	0	0
970	149113	0	0	0	0	0	0
969	149195	0	0	0	0	0	0
968	149248	0	0	0	0	0	0
967	149320	0	0	0	0	0	0
966	149380	0	0	0	0	0	0
965	149437	0	0	0	0	0	0
964	149503	0	0	0	0	0	0
963	149584	0	0	0	0	0	0
962	149659	0	0	0	0	0	0
961	149722	0	0	0	0	0	0
960	149784	0	0	0	0	0	0
959	149855	0	0	0	0	0	0
958	149941	0	0	0	0	0	0
957	150016	0	0	0	0	0	0
956	150095	0	0	0	0	0	0
955	150170	0	0	0	0	0	0
954	150237	0	0	0	0	0	0
953	150312	0	0	0	0	0	0
952	150391	0	0	0	0	0	0
951	150451	0	0	0	0	0	0
950	150521	0	0	0	0	0	0
949	150592	0	0	0	0	0	0
948	150651	0	0	0	0	0	0
947	150728	0	0	0	0	0	0
946	150800	0	0	0	0	0	0
945	150870	0	0	0	0	0	0
944	150959	0	0	0	0	0	0
943	151039	0	0	0	0	0	0
942	151108	0	0	0	0	0	0
941	151183	0	0	0	0	0	0
