min projects	junctions	annotated	exonskips	altstartend	novel	GTAG	annotated GTAG	GCAG	annotated GCAG	ATAC	annotated ATAC
1522	90696	90527	2	59	108	89750	89686	760	734	186	107
1521	90908	90737	2	60	109	89960	89895	761	735	187	107
1520	91117	90941	2	62	112	90164	90097	762	736	191	108
1519	91347	91170	2	63	112	90392	90324	764	738	191	108
1518	91538	91359	2	64	113	90581	90512	765	739	192	108
1517	91762	91582	2	65	113	90803	90733	767	741	192	108
1516	91979	91799	2	65	113	91019	90949	768	742	192	108
1515	92209	92026	3	65	115	91246	91175	769	743	194	108
1514	92426	92241	4	66	115	91461	91389	771	744	194	108
1513	92628	92441	4	68	115	91658	91584	776	749	194	108
1512	92822	92633	4	70	115	91850	91775	778	750	194	108
1511	93034	92842	4	72	116	92058	91981	781	753	195	108
1510	93225	93031	4	74	116	92245	92166	784	756	196	109
1509	93435	93239	4	74	118	92451	92372	787	758	197	109
1508	93622	93425	4	75	118	92637	92557	787	758	198	110
1507	93833	93636	4	75	118	92843	92763	791	762	199	111
1506	94000	93801	4	76	119	93008	92927	793	763	199	111
1505	94236	94036	4	77	119	93243	93161	794	764	199	111
1504	94455	94254	4	78	119	93456	93373	800	770	199	111
1503	94659	94455	4	79	121	93656	93572	803	771	200	112
1502	94849	94643	4	81	121	93845	93759	804	772	200	112
1501	95066	94859	4	82	121	94058	93971	807	775	201	113
1500	95265	95058	4	82	121	94255	94168	808	776	202	114
1499	95467	95259	4	83	121	94455	94367	810	778	202	114
1498	95664	95455	4	84	121	94652	94563	810	778	202	114
1497	95842	95632	4	85	121	94828	94738	811	779	203	115
1496	96012	95800	4	87	121	94996	94905	812	780	204	115
1495	96193	95980	4	87	122	95175	95084	814	781	204	115
1494	96387	96167	4	92	124	95364	95269	817	783	206	115
1493	96587	96365	4	94	124	95559	95463	821	786	207	116
1492	96774	96546	4	97	127	95743	95643	822	787	209	116
1491	96981	96751	5	97	128	95947	95846	825	789	209	116
1490	97182	96950	5	99	128	96145	96043	828	791	209	116
1489	97383	97147	5	101	130	96341	96237	830	793	212	117
1488	97566	97326	5	104	131	96521	96414	832	795	213	117
1487	97769	97525	6	105	133	96722	96613	833	795	214	117
1486	97940	97695	6	106	133	96891	96781	835	797	214	117
1485	98127	97877	6	109	135	97074	96962	838	798	215	117
1484	98312	98061	6	109	136	97257	97145	839	799	216	117
1483	98505	98254	6	109	136	97446	97334	843	803	216	117
1482	98700	98449	6	109	136	97640	97528	844	804	216	117
1481	98880	98625	7	111	137	97816	97701	847	807	217	117
1480	99061	98806	7	111	137	97995	97880	848	808	218	118
1479	99251	98993	8	113	137	98185	98067	848	808	218	118
1478	99430	99170	8	114	138	98359	98240	852	812	219	118
1477	99599	99337	8	115	139	98524	98404	854	814	221	119
1476	99776	99514	8	115	139	98698	98578	857	817	221	119
1475	99955	99692	8	116	139	98877	98756	857	817	221	119
1474	100125	99858	8	120	139	99046	98921	858	818	221	119
1473	100304	100035	9	120	140	99224	99098	858	818	222	119
1472	100482	100212	9	120	141	99400	99274	859	819	223	119
1471	100670	100398	9	121	142	99586	99459	861	820	223	119
1470	100834	100561	9	121	143	99748	99620	863	822	223	119
1469	101001	100728	9	121	143	99913	99785	865	824	223	119
1468	101183	100907	9	123	144	100094	99963	866	825	223	119
1467	101345	101065	9	127	144	100256	100121	866	825	223	119
1466	101536	101254	10	128	144	100446	100309	867	826	223	119
1465	101708	101426	10	128	144	100616	100479	869	828	223	119
1464	101873	101589	10	130	144	100780	100641	870	829	223	119
1463	102034	101748	10	130	146	100936	100797	873	831	225	120
1462	102183	101895	11	131	146	101084	100943	873	831	226	121
1461	102355	102063	11	133	148	101251	101108	876	833	228	122
1460	102546	102249	11	137	149	101438	101291	878	835	230	123
1459	102730	102431	11	139	149	101619	101471	881	837	230	123
1458	102894	102593	11	141	149	101781	101631	883	839	230	123
1457	103100	102799	11	141	149	101984	101834	886	842	230	123
1456	103263	102960	11	142	150	102145	101994	887	843	231	123
1455	103429	103120	14	143	152	102308	102154	888	843	233	123
1454	103597	103286	14	143	154	102472	102318	890	845	235	123
1453	103776	103462	15	144	155	102648	102492	893	847	235	123
1452	103944	103627	16	146	155	102812	102654	896	849	236	124
1451	104126	103805	17	148	156	102989	102828	899	852	238	125
1450	104308	103986	17	149	156	103170	103008	900	853	238	125
1449	104465	104141	17	151	156	103324	103161	903	855	238	125
1448	104635	104311	17	151	156	103492	103329	905	857	238	125
1447	104811	104483	17	153	158	103667	103501	906	857	238	125
1446	104975	104644	18	153	160	103827	103660	909	859	239	125
1445	105126	104790	20	156	160	103977	103805	910	860	239	125
1444	105295	104955	20	158	162	104143	103969	912	861	240	125
1443	105465	105121	20	162	162	104311	104133	914	863	240	125
1442	105635	105288	20	165	162	104478	104297	917	866	240	125
1441	105798	105445	21	166	166	104634	104452	921	868	243	125
1440	105969	105613	21	168	167	104803	104619	923	869	243	125
1439	106122	105766	21	168	167	104952	104768	926	872	244	126
1438	106277	105920	21	168	168	105105	104921	927	872	245	127
1437	106464	106103	21	169	171	105289	105103	929	873	246	127
1436	106642	106280	21	170	171	105466	105279	930	874	246	127
1435	106803	106436	21	172	174	105622	105433	934	876	247	127
1434	106946	106577	21	173	175	105759	105568	940	882	247	127
1433	107103	106731	22	174	176	105914	105721	942	883	247	127
1432	107263	106888	22	176	177	106072	105876	944	885	247	127
1431	107420	107045	22	176	177	106226	106030	947	888	247	127
1430	107577	107197	22	179	179	106378	106178	952	892	247	127
1429	107754	107369	23	181	181	106553	106349	954	893	247	127
1428	107911	107523	24	182	182	106707	106501	956	895	248	127
1427	108058	107666	24	186	182	106851	106641	959	898	248	127
1426	108207	107814	24	186	183	106997	106787	961	900	249	127
1425	108349	107952	25	188	184	107136	106923	964	902	249	127
1424	108521	108119	26	191	185	107306	107089	966	903	249	127
1423	108669	108264	28	192	185	107451	107231	968	905	250	128
1422	108819	108411	29	193	186	107598	107375	971	908	250	128
1421	108998	108589	29	194	186	107776	107552	972	909	250	128
1420	109140	108727	29	196	188	107915	107687	975	912	250	128
1419	109283	108865	30	199	189	108056	107825	976	912	251	128
1418	109455	109032	31	202	190	108228	107992	976	912	251	128
1417	109592	109168	31	203	190	108360	108123	981	917	251	128
1416	109746	109316	32	207	191	108513	108271	981	917	252	128
1415	109873	109438	34	208	193	108639	108392	982	918	252	128
1414	110025	109584	34	213	194	108786	108534	986	922	253	128
1413	110182	109738	35	214	195	108939	108684	989	925	254	129
1412	110333	109884	35	216	198	109089	108830	989	925	255	129
1411	110481	110029	35	218	199	109235	108975	990	925	256	129
1410	110639	110183	35	222	199	109391	109127	992	927	256	129
1409	110805	110345	37	223	200	109554	109286	994	929	257	130
1408	110934	110469	38	227	200	109682	109409	995	930	257	130
1407	111098	110631	38	229	200	109844	109569	996	931	258	131
1406	111249	110776	40	232	201	109992	109712	999	933	258	131
1405	111402	110925	41	233	203	110142	109859	1002	935	258	131
1404	111557	111078	41	235	203	110294	110010	1005	937	258	131
1403	111718	111237	41	236	204	110451	110165	1009	941	258	131
1402	111887	111402	41	238	206	110615	110327	1013	944	259	131
1401	112038	111551	41	240	206	110762	110472	1017	948	259	131
1400	112175	111686	42	240	207	110897	110606	1019	949	259	131
1399	112335	111842	44	242	207	111057	110762	1019	949	259	131
1398	112492	111997	45	242	208	111213	110916	1020	950	259	131
1397	112658	112161	45	244	208	111377	111078	1022	952	259	131
1396	112791	112288	47	246	210	111507	111203	1024	954	260	131
1395	112951	112444	47	248	212	111663	111357	1027	956	261	131
1394	113098	112586	49	250	213	111809	111499	1027	956	262	131
1393	113237	112724	49	250	214	111947	111637	1027	956	263	131
1392	113390	112871	50	253	216	112099	111783	1028	957	263	131
